No,Ecosystem,Package Name,Package Version,File Name,Line No,Issue,Note,,,,,,,,,,,,,,,,,,
102,pypi,esqrestrhttp,9.27,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
103,pypi,keras-beautifulsoup,2.9.2,setup.py,11-Oct,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,12,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,38,code_execution_decryption,,,,,,,,,,,,,,,,,,,
,,,,setup.py,38,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,reqinstaller/__init__.py,6,code_download_executable_or_binary_file,,,,,,,,,,,,,,,,,,,
,,,,reqinstaller/__init__.py,11,code_execution_executable_file,,,,,,,,,,,,,,,,,,,
104,pypi,selfcpuintsplit,7.25,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
105,pypi,ccpep,6.9,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
106,pypi,tphackedgamehacked,9.11,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
107,pypi,selib,3.0.1,src/__init__.py,1,code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,src/__init__.py,1,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
108,pypi,secretInspector,0.0.1,setup.py,10-Jun,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,0.0.2,setup.py,10-Jun,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_establishing_reverse_shell,,,,,,,,,,,,,,,,,,,
,,,0.1.0,setup.py,10-Jun,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_establishing_reverse_shell,,,,,,,,,,,,,,,,,,,
108,pypi,ferned,1,setup.py,,** Threat Found **,Threat Found,,,,,,,,,,,,,,,,,,
109,pypi,selfededpy,4.17,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
110,pypi,prometheus_client_twisted,1.0.0,setup.py,15-Aug,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,13-Nov,code_read_system_and_user_info,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,code_exfiltration_data,,,,,,,,,,,,,,,,,,,
111,pypi,tppoststringcontrol,6.35,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
112,pypi,pipsqlpackagev2,1.0.0,pipsqlpackageV2/__init__.py,,** Threat Found **,,,,,,,,,,,,,,,,,,,
113,pypi,ppandas,0.1,setup.py,6-130,code_obfuscation,,,,,,,,,,,,,,,,,,,
114,pypi,capmonster-task,1,setup.py,6,code_download_payload,,,,,,,,,,,,,,,,,,,
,,,,setup.py,6,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_executable_file,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_silent,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
115,pypi,py-pullhackedmine,1.18,setup.py,9,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,9,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"10,36",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,19,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-19,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
116,pypi,selfguiinteled,3.72,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
117,pypi,ultralib,7.56,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
118,pypi,libcpumineed,6.5,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
119,pypi,craftmine,6.75,setup.py,7,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,7,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"8, 34",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,15,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16-17,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
120,pypi,tpstudyvirtual,1.66,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
121,pypi,libideee,0.1,setup.py,8,metadata_description_none,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"28,30",code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"28,30",code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
122,pypi,esqpaypalcraft,7.20.,setup.py,8,code_execution_runtime,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_subprocess_hidden,,,,,,,,,,,,,,,,,,,
,,,,setup.py,8,code_execution_encoded_command,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"9,35",code_suppressing_error,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,metadata_description_purpose_mismatch,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18,metadata_author_email_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,17-18,metadata_author_reputation_notorious,,,,,,,,,,,,,,,,,,,
123,pypi,forenitq,0.6.9,setup.py,31,code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,31,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,7.6.9,,,** No malicious code found **,,,,,,,,,,,,,,,,,,,
124,pypi,pygfame,1.0.0,setup.py,10,code_obfuscation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,18-Oct,code_execution_install_hook_override,,,,,,,,,,,,,,,,,,,
,,,,setup.py,13,code_execution_environment_specific,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_execution_decryption,,,,,,,,,,,,,,,,,,,
,,,,setup.py,16,code_execution_dynamic_evaluation,,,,,,,,,,,,,,,,,,,
,,,,setup.py,24-25,metadata_author_info_suspicious,,,,,,,,,,,,,,,,,,,
,,,,setup.py,"26,28",metadata_description_anomaly,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
